"id","ident","airport_type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
6523,"00A","heliport","Total Rf Heliport",40.07080078125,-74.93360137939453,11,"NA","US","US-PA","Bensalem","no","00A",,"00A",,,
6524,"00AK","small_airport","Lowell Field",59.94919968,-151.695999146,450,"NA","US","US-AK","Anchor Point","no","00AK",,"00AK",,,
6525,"00AL","small_airport","Epps Airpark",34.86479949951172,-86.77030181884766,820,"NA","US","US-AL","Harvest","no","00AL",,"00AL",,,
6526,"00AR","heliport","Newport Hospital & Clinic Heliport",35.608699798583984,-91.25489807128906,237,"NA","US","US-AR","Newport","no","00AR",,"00AR",,,
6527,"00AZ","small_airport","Cordes Airport",34.305599212646484,-112.16500091552734,3810,"NA","US","US-AZ","Cordes","no","00AZ",,"00AZ",,,
6528,"00CA","small_airport","Goldstone /Gts/ Airport",35.350498199499995,-116.888000488,3038,"NA","US","US-CA","Barstow","no","00CA",,"00CA",,,
6529,"00CO","small_airport","Cass Field",40.62220001220703,-104.34400177001953,4830,"NA","US","US-CO","Briggsdale","no","00CO",,"00CO",,,
6531,"00FA","small_airport","Grass Patch Airport",28.64550018310547,-82.21900177001953,53,"NA","US","US-FL","Bushnell","no","00FA",,"00FA",,,
6532,"00FD","heliport","Ringhaver Heliport",28.846599578857422,-82.34539794921875,25,"NA","US","US-FL","Riverview","no","00FD",,"00FD",,,
6533,"00FL","small_airport","River Oak Airport",27.230899810791016,-80.96920013427734,35,"NA","US","US-FL","Okeechobee","no","00FL",,"00FL",,,
6534,"00GA","small_airport","Lt World Airport",33.76750183105469,-84.06829833984375,700,"NA","US","US-GA","Lithonia","no","00GA",,"00GA",,,
6535,"00GE","heliport","Caffrey Heliport",33.88420104980469,-84.73390197753906,957,"NA","US","US-GA","Hiram","no","00GE",,"00GE",,,
6536,"00HI","heliport","Kaupulehu Heliport",19.832500457763672,-155.98199462890625,43,"NA","US","US-HI","Kailua/Kona","no","00HI",,"00HI",,,
6537,"00ID","small_airport","Delta Shores Airport",48.145301818847656,-116.21399688720703,2064,"NA","US","US-ID","Clark Fork","no","00ID",,"00ID",,,
6538,"00II","heliport","Bailey Generation Station Heliport",41.644500732421875,-87.122802734375,600,"NA","US","US-IN","Chesterton","no","00II",,"00II",,,
6539,"00IL","small_airport","Hammer Airport",41.97840118408203,-89.5604019165039,840,"NA","US","US-IL","Polo","no","00IL",,"00IL",,,
6540,"00IN","heliport","St Mary Medical Center Heliport",41.51139831542969,-87.2605972290039,634,"NA","US","US-IN","Hobart","no","00IN",,"00IN",,,
6541,"00IS","small_airport","Hayenga's Cant Find Farms Airport",40.02560043334961,-89.1229019165039,820,"NA","US","US-IL","Kings","no","00IS",,"00IS",,,
6542,"00KS","small_airport","Hayden Farm Airport",38.72779846191406,-94.93049621582031,1100,"NA","US","US-KS","Gardner","no","00KS",,"00KS",,,
6543,"00KY","small_airport","Robbins Roost Airport",37.409400939941406,-84.61969757080078,1265,"NA","US","US-KY","Stanford","no","00KY",,"00KY",,,
45437,"00LA","heliport","Shell Chemical East Site Heliport",30.191944,-90.980833,15,"NA","US","US-LA","Gonzales","no","00LA",,"00LA",,,
6544,"00LL","heliport","Ac & R Components Heliport",39.66529846191406,-89.70559692382812,600,"NA","US","US-IL","Chatham","no","00LL",,"00LL",,,
6545,"00LS","small_airport","Lejeune Airport",30.13629913330078,-92.42939758300781,12,"NA","US","US-LA","Esterwood","no","00LS",,"00LS",,,
6546,"00MD","small_airport","Slater Field",38.75709915161133,-75.75379943847656,45,"NA","US","US-MD","Federalsburg","no","00MD",,"00MD",,,
6547,"00MI","heliport","Dow Chemical Heliport",43.94940185546875,-86.41670227050781,588,"NA","US","US-MI","Ludington","no","00MI",,"00MI",,,
6548,"00MN","small_airport","Battle Lake Municipal Airport",46.29999923706055,-95.70030212402344,1365,"NA","US","US-MN","Battle Lake","no","00MN",,"00MN",,,
6549,"00MO","small_airport","Cooper Flying Service Airport",37.20280075073242,-94.41239929199219,970,"NA","US","US-MO","Alba","no","00MO",,"00MO",,,
6550,"00MT","small_airport","Sands Ranch Airport",48.537498474121094,-109.70500183105469,2600,"NA","US","US-MT","Havre","no","00MT",,"00MT",,,
6551,"00N","small_airport","Bucks Airport",39.473201751708984,-75.1852035522461,105,"NA","US","US-NJ","Bridgeton","no","00N",,"00N",,,
6552,"00NC","small_airport","North Raleigh Airport",36.085201263427734,-78.37139892578125,348,"NA","US","US-NC","Louisburg","no","00NC",,"00NC",,,
